temperature_c,rain_probability,wind_speed_kph,month,is_good_day
11.8,0.31,11.9,2,1
21.4,0.23,6.8,10,1
17.7,0.25,11.1,11,1
11.6,0.25,24.8,1,1
26.6,0.31,7.1,5,1
30.7,0.26,13.3,4,1
30.4,0.4,10.1,8,0
13.8,0.23,1.9,2,1
33.6,0.69,17.1,7,0
20.6,0.2,16.1,8,1
33.8,0.58,9.7,7,0
19.4,0.11,16.0,10,1
21.6,0.05,14.4,3,1
25.1,0.33,10.8,4,1
36.2,0.12,3.3,6,0
10.7,0.14,5.9,11,1
23.8,0.21,8.2,10,1
11.4,0.05,5.9,1,1
23.3,0.07,9.5,1,1
12.6,0.39,2.0,1,1
18.4,0.38,4.9,2,0
23.4,0.44,17.6,4,0
26.8,0.45,4.3,8,0
38.6,0.48,13.3,7,0
32.8,0.6,21.9,5,0
29.8,0.23,15.9,5,1
31.2,0.55,0.0,6,0
26.4,0.3,4.0,7,1
34.4,0.25,20.0,6,1
13.5,0.16,12.5,2,1
22.7,0.18,13.9,1,1
8.4,0.12,8.8,12,0
11.5,0.01,5.4,12,1
46.5,0.21,6.1,6,0
15.5,0.26,10.4,11,1
9.2,0.26,12.3,12,0
18.6,0.11,7.4,10,1
14.6,0.06,1.5,11,1
11.4,0.13,11.4,10,1
14.1,0.46,13.8,11,0
33.6,0.62,11.6,6,0
30.3,0.44,14.6,6,0
36.1,0.59,4.9,6,0
26.0,0.41,2.6,8,0
9.4,0.53,12.2,12,0
8.6,0.2,13.8,12,0
20.1,0.18,17.1,12,1
21.1,0.35,6.8,10,1
28.9,0.37,7.5,4,1
18.0,0.22,17.1,2,1
26.0,0.02,19.9,4,1
7.1,0.03,13.7,11,0
30.9,0.1,8.0,5,1
15.8,0.3,13.2,12,1
15.9,0.12,4.2,1,1
1.7,0.12,18.5,11,0
28.2,0.84,3.1,6,0
11.5,0.5,5.8,1,1
12.8,0.41,8.1,3,0
12.4,0.16,3.1,11,1
32.6,0.23,24.5,4,1
27.8,0.62,13.9,8,0
3.0,0.07,18.6,11,0
23.7,0.13,10.0,3,1
22.0,0.45,15.5,3,0
31.1,0.52,15.7,6,0
15.2,0.18,1.0,11,0
3.4,0.03,3.0,11,0
42.8,0.49,10.2,7,0
11.6,0.26,17.4,12,1
7.6,0.28,20.7,12,0
32.0,0.86,14.7,7,0
19.3,0.48,7.0,3,0
26.1,0.15,16.2,4,1
14.8,0.25,7.5,12,1
7.1,0.08,7.4,11,0
26.2,0.1,11.6,4,1
17.5,0.14,10.5,3,1
24.9,0.32,4.9,7,1
23.2,0.86,9.5,9,0
14.5,0.03,8.2,11,1
14.7,0.54,5.8,12,0
19.2,0.07,8.3,10,1
19.8,0.63,8.8,9,0
21.8,0.01,0.4,8,1
20.6,0.36,3.0,9,1
31.5,0.33,4.4,7,1
12.8,0.16,5.4,12,1
26.3,0.6,11.9,7,0
11.6,0.35,8.9,1,1
23.4,0.08,26.3,3,1
28.9,0.36,8.9,8,1
19.8,0.2,9.5,9,1
12.1,0.45,0.0,11,1
11.0,0.5,18.3,12,0
27.4,0.49,16.2,6,0
15.9,0.04,5.9,2,1
19.0,0.01,13.7,1,1
26.4,0.48,13.7,6,1
17.2,0.64,19.1,1,0
22.5,0.57,6.6,9,0
11.8,0.04,6.5,11,1
32.9,0.58,14.0,7,0
17.4,0.07,20.2,10,1
17.1,0.2,4.2,2,0
26.6,0.76,12.3,8,0
16.2,0.08,1.3,2,0
32.0,0.67,5.5,8,0
23.4,0.53,13.3,10,1
19.1,0.67,9.6,9,0
26.3,0.66,0.8,6,0
17.2,0.52,21.4,2,0
13.2,0.05,10.0,10,1
13.5,0.46,31.1,11,0
35.5,0.11,13.7,5,1
32.3,0.21,3.3,5,1
23.5,0.71,11.7,8,1
8.3,0.56,11.9,11,0
26.9,0.35,5.4,4,1
23.2,0.29,8.7,10,1
11.8,0.47,2.8,1,0
27.5,0.23,10.6,4,1
